batch_id,run_number,model,timestamp,passed,assertions_passed,assertions_total,metrics_count,benchmarks_found,tokens,conversation_span_ms,tool_calls,tool_errors,mcp_calls,mcp_errors,execute_calls,execute_errors,error_message,llm_time_ms,tool_time_ms,turns
2025_11_28_15_04,1,claude-haiku-4-5,2025-11-28T15:04:18.867332,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",107152,34155.87,7,1,1,0,6,1,,32280.01,1875.86,8
2025_11_28_15_04,2,claude-haiku-4-5,2025-11-28T15:04:56.442264,False,11,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",75066,29217.44,6,0,0,0,6,0,"Metric arc_challenge has value 44.5, expected 48.5",27954.58,1262.86,7
2025_11_28_15_04,3,claude-haiku-4-5,2025-11-28T15:05:29.311824,False,11,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",47222,26094.78,4,0,0,0,4,0,"Metric arc_challenge has value 44.5, expected 48.5",25474.69,620.09,5
2025_11_28_15_04,4,claude-haiku-4-5,2025-11-28T15:05:59.219381,False,11,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",44153,15810.31,4,0,0,0,4,0,"Metric arc_challenge has value 44.5, expected 48.5",15182.64,627.67,5
2025_11_28_15_04,5,claude-haiku-4-5,2025-11-28T15:06:16.375760,False,11,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",64503,27406.68,5,0,0,0,5,0,"Metric arc_challenge has value 44.5, expected 48.5",26679.34,727.34,6
2025_11_28_15_04,6,claude-haiku-4-5,2025-11-28T15:06:47.835545,False,11,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",33614,13362.03,3,0,0,0,3,0,"Metric arc_challenge has value 44.5, expected 48.5",12742.37,619.66,4
2025_11_28_15_04,7,claude-haiku-4-5,2025-11-28T15:07:05.075714,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",70357,17672.07,5,0,1,0,4,0,,16839.4,832.67,6
2025_11_28_15_04,8,claude-haiku-4-5,2025-11-28T15:07:23.957579,False,11,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",106289,38411.71,8,0,0,0,8,0,"Metric arc_challenge has value 44.5, expected 48.5",37105.47,1306.24,9
2025_11_28_15_04,9,claude-haiku-4-5,2025-11-28T15:08:06.275494,False,11,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",64365,26954.59,5,0,0,0,5,0,"Metric arc_challenge has value 44.5, expected 48.5",26223.78,730.81,6
2025_11_28_15_04,10,claude-haiku-4-5,2025-11-28T15:08:42.098334,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",86794,24734.14,6,0,1,0,5,0,,22935.86,1798.28,7
2025_11_28_15_10,1,moonshotai/Kimi-K2-Instruct-0905-groq,2025-11-28T15:10:01.989982,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",56952,9069.35,5,0,1,0,4,0,,8260.83,808.52,6
2025_11_28_15_10,2,moonshotai/Kimi-K2-Instruct-0905-groq,2025-11-28T15:10:17.332941,False,11,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",91146,22380.93,7,0,1,0,6,0,"Metric arc_challenge has value 46.5, expected 48.5",21451.64,929.29,8
2025_11_28_15_10,3,moonshotai/Kimi-K2-Instruct-0905-groq,2025-11-28T15:10:43.519456,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",134513,19667.13,10,0,1,0,9,0,,16981.32,2685.81,11
2025_11_28_15_10,4,moonshotai/Kimi-K2-Instruct-0905-groq,2025-11-28T15:11:11.964521,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",110285,14141.98,8,1,1,0,7,1,,12351.81,1790.17,9
2025_11_28_15_10,5,moonshotai/Kimi-K2-Instruct-0905-groq,2025-11-28T15:11:27.457484,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",123195,22540.99,9,0,1,0,8,0,,20555.58,1985.41,10
2025_11_28_15_10,6,moonshotai/Kimi-K2-Instruct-0905-groq,2025-11-28T15:11:53.803187,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",77663,20418.55,6,0,1,0,5,0,,19516.96,901.59,7
2025_11_28_15_10,7,moonshotai/Kimi-K2-Instruct-0905-groq,2025-11-28T15:12:22.393265,False,1,23,0,,72957,10947.59,6,0,1,0,5,0,Missing or empty 'model-index' key,9517.12,1430.47,7
2025_11_28_15_10,8,moonshotai/Kimi-K2-Instruct-0905-groq,2025-11-28T15:12:39.838458,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",72851,10981.8,6,0,1,0,5,0,,9648.4,1333.4,7
2025_11_28_15_10,9,moonshotai/Kimi-K2-Instruct-0905-groq,2025-11-28T15:12:54.778260,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",176208,30761.04,12,1,1,0,11,1,,27047.31,3713.73,13
2025_11_28_15_10,10,moonshotai/Kimi-K2-Instruct-0905-groq,2025-11-28T15:13:29.163330,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",87278,14909.04,7,0,1,0,6,0,,13122.25,1786.79,8
2025_11_28_15_15,1,moonshotai/Kimi-K2-Instruct-0905-together,2025-11-28T15:15:00.872842,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",73098,30784.72,6,0,1,0,5,0,,29439.15,1345.57,7
