batch_id,run_number,model,timestamp,passed,assertions_passed,assertions_total,metrics_count,benchmarks_found,tokens,conversation_span_ms,tool_calls,tool_errors,mcp_calls,mcp_errors,execute_calls,execute_errors,error_message,llm_time_ms,tool_time_ms,turns
2025_12_01_11_55,1,moonshotai/Kimi-K2-Instruct-0905,2025-12-01T11:55:41.073233,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",65064,13155.41,6,0,1,0,5,0,,11864.85,1290.56,7
2025_12_01_11_55,2,moonshotai/Kimi-K2-Instruct-0905,2025-12-01T11:55:55.479037,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",87851,12136.43,8,0,1,0,7,0,,10220.84,1915.59,9
2025_12_01_11_55,3,moonshotai/Kimi-K2-Instruct-0905,2025-12-01T11:56:09.848595,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",48101,6915.93,6,0,0,0,6,0,,5912.92,1003.01,7
2025_12_01_11_55,4,moonshotai/Kimi-K2-Instruct-0905,2025-12-01T11:56:23.106967,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",77370,12556.45,7,0,1,0,6,0,,10744.13,1812.32,8
2025_12_01_11_55,5,moonshotai/Kimi-K2-Instruct-0905,2025-12-01T11:56:36.885282,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",69584,9588.07,7,1,2,1,5,0,,8168.78,1419.29,8
2025_12_01_11_55,6,moonshotai/Kimi-K2-Instruct-0905,2025-12-01T11:56:53.662499,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",57588,8215.85,7,0,0,0,7,0,,6744.52,1471.33,8
2025_12_01_11_55,7,moonshotai/Kimi-K2-Instruct-0905,2025-12-01T11:57:03.209208,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",40055,7985.78,5,0,0,0,5,0,,6872.69,1113.09,6
2025_12_01_11_55,8,moonshotai/Kimi-K2-Instruct-0905,2025-12-01T11:57:13.552147,False,6,23,9,,111277,25980.1,9,1,1,0,8,1,"Metrics list has 9 entries, expected at least 11",24536.2,1443.9,10
2025_12_01_11_55,9,moonshotai/Kimi-K2-Instruct-0905,2025-12-01T11:57:40.823087,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",77557,12563.8,7,0,1,0,6,0,,10477.9,2085.9,8
2025_12_01_11_55,10,moonshotai/Kimi-K2-Instruct-0905,2025-12-01T11:57:55.722846,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",63301,8401.88,6,0,1,0,5,0,,7132.75,1269.13,7
2025_12_01_11_58,1,openai/gpt-oss-120b,2025-12-01T11:58:12.977378,False,11,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",98825,68573.5,6,0,0,0,6,0,"Metric arc_challenge has value 44.5, expected 48.5",7042.65,61530.85,7
2025_12_01_11_58,2,openai/gpt-oss-120b,2025-12-01T11:59:25.769204,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",44251,3477.16,4,0,0,0,4,0,,3265.67,211.49,5
2025_12_01_11_58,3,openai/gpt-oss-120b,2025-12-01T11:59:30.528197,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",37826,5177.83,6,1,0,0,6,1,,4154.44,1023.39,7
