batch_id,run_number,model,timestamp,passed,assertions_passed,assertions_total,metrics_count,benchmarks_found,tokens,conversation_span_ms,tool_calls,tool_errors,mcp_calls,mcp_errors,execute_calls,execute_errors,error_message,llm_time_ms,tool_time_ms,turns
2025_12_01_12_19,1,claude-haiku-4-5,2025-12-01T12:19:28.370937,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",64682,21948.85,5,0,1,0,4,0,,20636.04,1312.81,6
2025_12_01_12_19,2,claude-haiku-4-5,2025-12-01T12:19:57.641649,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",50154,18601.1,5,0,0,0,5,0,,17624.84,976.26,6
2025_12_01_12_19,3,claude-haiku-4-5,2025-12-01T12:20:17.548368,False,11,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",40858,17964.68,4,0,0,0,4,0,"Metric arc_challenge has value 44.5, expected 48.5",16902.6,1062.08,5
2025_12_01_12_19,4,claude-haiku-4-5,2025-12-01T12:20:37.790347,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",50174,17577.17,5,0,0,0,5,0,,16548.29,1028.88,6
2025_12_01_12_19,5,claude-haiku-4-5,2025-12-01T12:20:56.613369,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",40435,17504.51,4,0,0,0,4,0,,16477.22,1027.29,5
2025_12_01_12_19,6,claude-haiku-4-5,2025-12-01T12:21:16.477605,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",50104,17404.03,5,0,0,0,5,0,,16369.64,1034.39,6
2025_12_01_12_19,7,claude-haiku-4-5,2025-12-01T12:21:36.233702,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",59073,21611.79,6,1,0,0,6,1,,19897.85,1713.94,7
2025_12_01_12_19,8,claude-haiku-4-5,2025-12-01T12:21:59.120751,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",71805,27133.93,7,1,0,0,7,1,,26013.53,1120.4,8
2025_12_01_12_19,9,claude-haiku-4-5,2025-12-01T12:22:28.587431,False,11,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",51087,20286.89,5,0,0,0,5,0,"Metric arc_challenge has value 44.5, expected 48.5",18193.42,2093.47,6
2025_12_01_12_19,10,claude-haiku-4-5,2025-12-01T12:22:51.148247,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",60776,20864.92,6,0,0,0,6,0,,19689.96,1174.96,7
2025_12_01_12_23,1,claude-sonnet-4-5,2025-12-01T12:23:25.768965,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",63035,43973.26,6,0,0,0,6,0,,42857.18,1116.08,7
2025_12_01_12_23,2,claude-sonnet-4-5,2025-12-01T12:24:17.992130,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",52100,285047.55,5,0,0,0,5,0,,283761.13,1286.42,6
2025_12_01_12_23,3,claude-sonnet-4-5,2025-12-01T12:29:12.136319,True,23,23,11,"arc_challenge,arc_easy,boolq,copa,hellaswag,mmlu,openbookqa,piqa,sciq,truthfulqa,winogrande",50526,33436.92,5,0,0,0,5,0,,32362.44,1074.48,6
